date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
1999-11-10,sh.600000,29.5000,29.8000,27.0000,27.7500,10.0000,174085055,4859102435.0000,3,54.401580,1,177.500000,77.815386,17.418388,22.359317,0.000000,0
1999-11-11,sh.600000,27.5800,28.3800,27.5300,27.7100,27.7500,29403491,821582199.0000,3,9.188591,1,-0.144147,77.703220,17.393280,22.327087,0.000000,0
1999-11-12,sh.600000,27.8600,28.3000,27.7700,28.0500,27.7100,15007963,421591623.0000,3,4.689988,1,1.226995,78.656634,17.606695,22.601039,0.000000,0
1999-11-15,sh.600000,28.2000,28.2500,27.7000,27.7500,28.0500,11921071,332952812.0000,3,3.725335,1,-1.069516,77.815386,17.418388,22.359317,0.000000,0
1999-11-16,sh.600000,27.8800,27.9700,26.4800,26.5500,27.7500,23223120,628908296.0000,3,7.257225,1,-4.324327,74.450397,16.665160,21.392428,0.000000,0
1999-11-17,sh.600000,26.5000,27.1800,26.3700,27.1800,26.5500,10052566,268995055.0000,3,3.141427,1,2.372885,76.217016,17.060605,21.900045,0.000000,0
1999-11-18,sh.600000,27.2000,27.5800,26.7800,27.0200,27.1800,8446529,229577879.0000,3,2.639540,1,-0.588668,75.768351,16.960175,21.771126,0.000000,0
1999-11-19,sh.600000,27.5000,27.5300,26.8000,26.8800,27.0200,5374994,145887121.0000,3,1.679686,1,-0.518139,75.375769,16.872298,21.658322,0.000000,0
1999-11-22,sh.600000,26.8800,26.9500,26.3000,26.4500,26.8800,5535421,147086153.0000,3,1.729819,1,-1.599697,74.169981,16.602391,21.311854,0.000000,0
1999-11-23,sh.600000,26.4500,26.5500,26.1000,26.4500,26.4500,3843966,101224493.0000,3,1.201239,1,0.000000,74.169981,16.602391,21.311854,0.000000,0
1999-11-24,sh.600000,26.4400,26.5500,26.0100,26.4300,26.4500,4098001,107344461.0000,3,1.280625,1,-0.075616,74.113898,16.589838,21.295739,0.000000,0
1999-11-25,sh.600000,26.3000,26.6600,26.0200,26.4000,26.4300,5725292,150528185.0000,3,1.789154,1,-0.113510,74.029773,16.571007,21.271567,0.000000,0
1999-11-26,sh.600000,26.4300,26.6600,26.1500,26.4500,26.4000,2282685,60508935.0000,3,0.713339,1,0.189398,74.169981,16.602391,21.311854,0.000000,0
1999-11-29,sh.600000,26.4500,26.8300,26.2200,26.3300,26.4500,2681243,71099577.0000,3,0.837888,1,-0.453689,73.833482,16.527069,21.215165,0.000000,0
1999-11-30,sh.600000,26.3000,26.5000,26.1100,26.4000,26.3300,2371355,62335742.0000,3,0.741048,1,0.265855,74.029773,16.571007,21.271567,0.000000,0
1999-12-01,sh.600000,26.3100,26.9000,26.2100,26.6000,26.4000,2865195,76287992.0000,3,0.895373,1,0.757579,74.590605,16.696545,21.432715,0.000000,0
1999-12-02,sh.600000,26.5200,26.7200,26.2200,26.2600,26.6000,1938487,51110241.0000,3,0.605777,1,-1.278196,73.637191,16.483130,21.158763,0.000000,0
1999-12-03,sh.600000,26.2500,26.6500,26.2000,26.3600,26.2600,2552574,67291877.0000,3,0.797679,1,0.380809,73.917607,16.545899,21.239337,0.000000,0
1999-12-06,sh.600000,26.3000,26.3500,25.6000,25.6600,26.3600,6983999,180516074.0000,3,2.182500,1,-2.655541,71.954696,16.106517,20.675318,0.000000,0
1999-12-07,sh.600000,25.6000,25.8500,25.5000,25.6000,25.6600,3955769,101467905.0000,3,1.236178,1,-0.233825,71.786446,16.068855,20.626974,0.000000,0
1999-12-08,sh.600000,25.6000,25.7600,25.5000,25.5300,25.6000,2236538,57214358.0000,3,0.698918,1,-0.273436,71.590155,16.024917,20.570572,0.000000,0
1999-12-09,sh.600000,25.5000,25.5500,25.3000,25.3600,25.5300,2564635,65136972.0000,3,0.801448,1,-0.665883,71.113449,15.918210,20.433596,0.000000,0
1999-12-10,sh.600000,25.3600,26.1000,25.2200,25.9700,25.3600,3553913,91041273.0000,3,1.110598,1,2.405358,72.823985,16.301100,20.925098,0.000000,0
1999-12-13,sh.600000,25.9800,26.4500,25.6000,25.9200,25.9700,7058409,184655963.0000,3,2.205753,1,-0.192527,72.683777,16.269716,20.884811,0.000000,0
